retweet_count,reply_count,like_count,quote_count,tweet_id,created_at
6975,139,33711,219,892420643555336192,2017-08-01 16:23:56+00:00
5277,170,29238,274,892177421306343424,2017-08-01 00:17:27+00:00
3466,110,21982,145,891815181378084864,2017-07-31 00:18:03+00:00
7197,142,36813,286,891689557279858688,2017-07-30 15:58:51+00:00
7721,193,35195,296,891327558926688256,2017-07-29 16:00:24+00:00
2589,58,17753,43,891087950875897856,2017-07-29 00:08:17+00:00
1649,51,10335,55,890971913173991424,2017-07-28 16:27:12+00:00
15689,158,56687,377,890729181411237888,2017-07-28 00:22:40+00:00
3605,92,24435,129,890609185150312448,2017-07-27 16:25:51+00:00
6075,142,27857,352,890240255349198848,2017-07-26 15:59:51+00:00
6117,154,26960,267,890006608113172480,2017-07-26 00:31:25+00:00
4142,90,24496,146,889880896479866880,2017-07-25 16:11:53+00:00
8307,174,41893,318,889665388333682688,2017-07-25 01:55:32+00:00
3701,92,23591,199,889638837579907072,2017-07-25 00:10:02+00:00
1874,58,13317,81,889531135344209920,2017-07-24 17:02:04+00:00
4426,110,22041,124,889278841981685760,2017-07-24 00:19:32+00:00
3746,81,25538,91,888917238123831296,2017-07-23 00:22:39+00:00
3517,66,22399,80,888804989199671296,2017-07-22 16:56:37+00:00
2867,71,17260,61,888554962724278272,2017-07-22 00:23:06+00:00
2885,93,19107,170,888078434458587136,2017-07-20 16:49:33+00:00
4520,79,26541,159,887705289381826560,2017-07-19 16:06:48+00:00
9814,424,40600,1150,887517139158093824,2017-07-19 03:39:09+00:00
14967,211,60002,588,887473957103951872,2017-07-19 00:47:34+00:00
8784,179,29506,539,887343217045368832,2017-07-18 16:08:03+00:00
4972,130,26901,186,887101392804085760,2017-07-18 00:07:08+00:00
6289,136,30265,357,886983233522544640,2017-07-17 16:17:36+00:00
2619,46,10460,78,886736880519319552,2017-07-16 23:58:41+00:00
3723,71,19666,109,886680336477933568,2017-07-16 20:14:00+00:00
2614,73,18495,117,886366144734445568,2017-07-15 23:25:31+00:00
4,2,105,0,886267009285017600,2017-07-15 16:51:35+00:00
5259,102,24453,215,886258384151887872,2017-07-15 16:17:19+00:00
93,0,0,0,886054160059072512,2017-07-15 02:45:48+00:00
5590,121,28510,173,885984800019947520,2017-07-14 22:10:11+00:00
5308,68,31504,141,885528943205470208,2017-07-13 15:58:47+00:00
3100,113,17947,156,885518971528720384,2017-07-13 15:19:09+00:00
15377,0,0,0,885311592912609280,2017-07-13 01:35:06+00:00
3654,129,19196,316,885167619883638784,2017-07-12 16:03:00+00:00
14951,373,67062,543,884925521741709312,2017-07-12 00:01:00+00:00
4642,106,24312,186,884876753390489600,2017-07-11 20:47:12+00:00
3896,105,21256,209,884562892145688576,2017-07-11 00:00:02+00:00
4778,93,23795,196,884441805382717440,2017-07-10 15:58:53+00:00
16837,130,63044,182,884247878851493888,2017-07-10 03:08:17+00:00
2493,68,17899,75,884162670584377344,2017-07-09 21:29:42+00:00
2849,112,19100,116,883838122936631296,2017-07-09 00:00:04+00:00
8230,177,40060,303,883482846933004288,2017-07-08 00:28:19+00:00
3061,129,19885,130,883360690899218432,2017-07-07 16:22:55+00:00
5512,77,32399,110,883117836046086144,2017-07-07 00:17:54+00:00
3231,55,20925,53,882992080364220416,2017-07-06 15:58:11+00:00
4080,83,24705,123,882762694511734784,2017-07-06 00:46:41+00:00
5045,120,24539,262,882627270321602560,2017-07-05 15:48:34+00:00
9586,127,39073,308,882268110199369728,2017-07-04 16:01:23+00:00
4069,402,25638,1252,882045870035918848,2017-07-04 01:18:17+00:00
2841,98,21385,132,881906580714921984,2017-07-03 16:04:48+00:00
8920,151,44416,274,881666595344535552,2017-07-03 00:11:11+00:00
8,1,113,1,881633300179243008,2017-07-02 21:58:53+00:00
13353,426,43314,1225,881536004380872704,2017-07-02 15:32:16+00:00
4486,126,20437,178,881268444196462592,2017-07-01 21:49:04+00:00
2327,43,15008,75,880935762899988480,2017-06-30 23:47:07+00:00
3193,83,18665,111,880872448815771648,2017-06-30 19:35:32+00:00
5195,123,24939,222,880465832366813184,2017-06-29 16:39:47+00:00
3451,106,23589,201,880221127280381952,2017-06-29 00:27:25+00:00
3637,147,24245,172,880095782870896640,2017-06-28 16:09:20+00:00
2916,70,19648,82,879862464715927552,2017-06-28 00:42:13+00:00
